MatchId,WinningTeam,Champion1,Champ1Spell1,Champ1Spell2,Champion2,Champ2Spell1,Champ2Spell2,Champion3,Champ3Spell1,Champ3Spell2,Champion4,Champ4Spell1,Champ4Spell2,Champion5,Champ5Spell1,Champ5Spell2,Champion6,Champ6Spell1,Champ6Spell2,Champion7,Champ7Spell1,Champ7Spell2,Champion8,Champ8Spell1,Champ8Spell2,Champion9,Champ9Spell1,Champ9Spell2,Champion10,Champ10Spell1,Champ10Spell2
2541517191,Purple,Gragas,Mark,Flash,Renekton,Mark,Flash,Draven,Mark,Flash,Anivia,Heal,Flash,Veigar,Mark,Flash,Miss Fortune,Mark,Flash,Janna,Exhaust,Flash,Jhin,Clarity,Flash,Swain,Clarity,Flash,Malphite,Mark,Flash
2541517192,Purple,Heimerdinger,Clarity,Flash,Poppy,Flash,Mark,Jarvan IV,Flash,Mark,Shen,Flash,Mark,Ahri,Mark,Flash,Janna,Barrier,Flash,Anivia,Clarity,Flash,Gnar,Ignite,Flash,Annie,Clarity,Flash,Soraka,Flash,Heal
2541517193,Blue,Cho'Gath,Flash,Mark,Blitzcrank,Flash,Mark,Quinn,Mark,Heal,Teemo,Flash,Barrier,Morgana,Mark,Flash,Rakan,Mark,Flash,Skarner,Flash,Heal,Ahri,Clarity,Flash,Diana,Flash,Heal,Olaf,Heal,Flash
2541517198,Blue,Ahri,Flash,Mark,Master Yi,Flash,Heal,Jinx,Heal,Flash,Soraka,Flash,Heal,Ashe,Heal,Flash,Nidalee,Flash,Heal,Graves,Flash,Ignite,Azir,Barrier,Flash,Xayah,Mark,Flash,Caitlyn,Mark,Flash
2541517201,Purple,Vayne,Barrier,Flash,Janna,Flash,Mark,Thresh,Heal,Clarity,Riven,Mark,Flash,Lee Sin,Heal,Flash,Shyvana,Mark,Flash,Taliyah,Flash,Mark,Brand,Mark,Flash,Gnar,Flash,Mark,Ezreal,Flash,Heal
2541517202,Blue,Katarina,Ignite,Flash,Kha'Zix,Flash,Mark,Darius,Ghost,Heal,Nidalee,Exhaust,Heal,Veigar,Flash,Mark,Ivern,Heal,Ignite,Alistar,Heal,Flash,Sivir,Heal,Flash,Sona,Flash,Ignite,Ahri,Flash,Ignite
2541517203,Purple,Sion,Clarity,Flash,Blitzcrank,Flash,Mark,Fizz,Flash,Mark,Warwick,Mark,Flash,Jayce,Heal,Flash,Braum,Ignite,Flash,Soraka,Mark,Flash,Varus,Flash,Clarity,Xayah,Flash,Heal,Volibear,Clarity,Heal
2541517204,Purple,Kassadin,Flash,Mark,Trundle,Ghost,Flash,Darius,Flash,Mark,Yorick,Flash,Barrier,Nunu,Mark,Flash,Alistar,Mark,Flash,Shyvana,Mark,Flash,Malzahar,Flash,Mark,Brand,Flash,Heal,Karthus,Clarity,Flash
2541517205,Purple,Garen,Flash,Mark,Viktor,Clarity,Flash,Ahri,Mark,Flash,Sivir,Ignite,Heal,Jarvan IV,Mark,Flash,Heimerdinger,Heal,Flash,Diana,Flash,Mark,Malphite,Flash,Mark,Olaf,Flash,Mark,Jinx,Exhaust,Flash
2541517206,Purple,Xerath,Heal,Flash,Caitlyn,Flash,Heal,Ahri,Heal,Clarity,Taliyah,Flash,Ghost,Lulu,Flash,Cleanse,Kassadin,Flash,Mark,Sivir,Clarity,Flash,Vi,Flash,Mark,Jinx,Heal,Flash,Master Yi,Flash,Ignite
2541517211,Blue,Nautilus,Flash,Mark,Elise,Flash,Heal,Vladimir,Mark,Flash,Kayle,Heal,Flash,Nasus,Mark,Exhaust,Nidalee,Heal,Flash,Swain,Clarity,Flash,Zyra,Heal,Ignite,Master Yi,Mark,Ghost,Irelia,Mark,Flash
2541517212,Purple,Volibear,Flash,Mark,Kayle,Flash,Clarity,Talon,Mark,Flash,Zed,Flash,Heal,Xerath,Flash,Heal,Zyra,Mark,Flash,Miss Fortune,Mark,Heal,Anivia,Flash,Ghost,Thresh,Mark,Flash,Varus,Heal,Flash
2541517213,Purple,Fiddlesticks,Flash,Mark,Zyra,Barrier,Flash,Leona,Mark,Flash,Riven,Mark,Flash,Braum,Flash,Mark,Fizz,Flash,Heal,Shyvana,Mark,Flash,Ryze,Heal,Flash,Nautilus,Flash,Mark,Jinx,Heal,Flash
